"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"Zeitraum: 10-2020";
"Filter: Inhalt > Thema > Nachrichten";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"AngebotsschlÃ¼ssel";"Angebot";"Typ";"ausgewiesene Tage";"Kat-Visits";"PIs in gewÃ¤hlten Kategorien gesamt";"PIs in gewÃ¤hlten Kategorien Inland";"PIs Anteil Inland";"PIs in gewÃ¤hlten Kategorien Ausland";
"Joyn.de";"Joyn App";"Apps (Smartphone)";" 31/31";321.630;417.458;416.680;100 %;778;
"Junge Freiheit online";"Junge Freiheit online";"gesamt";" 31/31";618.202;853.585;784.133;92 %;69.452;
"Junge Freiheit online";"Junge Freiheit online";"Online (http://www.jungefreiheit.de)";" 31/31";618.202;853.585;784.133;92 %;69.452;
"ka-news.de";"ka-news.de";"gesamt";" 31/31";1.342.892;2.286.864;2.224.460;97 %;62.404;
"ka-news.de";"ka-news.de";"Online (http://www.ka-news.de)";" 31/31";416.338;761.639;727.204;95 %;34.435;
"ka-news.de";"News App";"Apps (gesamt)";" 31/31";195.005;490.880;485.250;99 %;5.630;
"ka-news.de";"News App";"Apps (Smartphone)";" 31/31";195.005;490.880;485.250;99 %;5.630;
"ka-news.de";"ka-news.de mobile";"MEW (http://mobil.ka-news.de)";" 31/31";731.549;1.034.345;1.012.006;98 %;22.339;
"Kachelmannwetter.com";"Kachelmannwetter.com";"gesamt";" 31/31";4.128.129;21.340.363;17.417.186;82 %;3.923.177;
"Kachelmannwetter.com";"Kachelmannwetter.com";"Online (http://kachelmannwetter.com/)";" 31/31";4.128.129;21.340.363;17.417.186;82 %;3.923.177;
"ke-next.de";"ke-next.de";"gesamt";" 31/31";5;6;5;83 %;1;
"ke-next.de";"ke-next.de";"Online (http://www.ke-next.de)";" 31/31";5;6;5;83 %;1;
"kma Online";"kma Online";"gesamt";" 31/31";15.301;18.039;17.109;95 %;930;
"kma Online";"kma Online";"Online (http://www.kma-online.de)";" 31/31";15.301;18.039;17.109;95 %;930;
"Koeln.de";"Koeln.de";"gesamt";" 31/31";565.963;810.795;784.379;97 %;26.416;
"Koeln.de";"Koeln.de";"Online (http://www.koeln.de)";" 31/31";154.286;256.423;244.481;95 %;11.942;
"Koeln.de";"koeln.de Mobil";"MEW (http://mobil.koeln.de)";" 31/31";411.677;554.372;539.898;97 %;14.474;
"KREISZEITUNG Böblinger Bote";"KREISZEITUNG Böblinger Bote";"gesamt";" 31/31";253.521;454.363;435.888;96 %;18.475;
"KREISZEITUNG Böblinger Bote";"KREISZEITUNG Böblinger Bote";"Online (http://www.krzbb.de)";" 31/31";253.521;454.363;435.888;96 %;18.475;
"Kreiszeitung Online";"Kreiszeitung Online";"gesamt";" 31/31";4.737.063;7.827.458;7.639.045;98 %;188.413;
"Kreiszeitung Online";"Kreiszeitung Online";"Online (http://www.kreiszeitung.de)";" 31/31";962.764;2.161.344;2.091.189;97 %;70.155;
"Kreiszeitung Online";"Kreiszeitung Online mobile";"MEW (http://www.kreiszeitung.de/)";" 31/31";3.774.299;5.666.114;5.547.856;98 %;118.258;
"KunststoffWeb";"KunststoffWeb";"gesamt";" 31/31";6;6;2;33 %;4;
"KunststoffWeb";"KunststoffWeb";"Online (http://www.kunststoffweb.de)";" 31/31";6;6;2;33 %;4;
"LAND & FORST";"LAND & FORST";"gesamt";" 31/31";2.111;17.440;17.383;100 %;57;
"LAND & FORST";"LAND & FORST";"Online (http://www.landundforst.de/)";" 31/31";1.403;10.260;10.204;99 %;56;
"LAND & FORST";"LAND & FORST mobil";"MEW (http://www.landundforst.de/)";" 31/31";708;7.180;7.179;100 %;1;
"LandesWelle Thüringen";"LandesWelle Thüringen";"gesamt";" 31/31";5.262;6.727;6.645;99 %;82;
"LandesWelle Thüringen";"LandesWelle Thüringen";"Online (http://www.landeswelle.de)";" 31/31";5.262;6.727;6.645;99 %;82;
"Lokal26";"Lokal26";"gesamt";" 31/31";475.288;817.001;803.789;98 %;13.212;
"Lokal26";"Lokal26";"Online (http://lokal26.de)";" 31/31";119.152;268.875;262.003;97 %;6.872;
"Lokal26";"Lokal26 mobil";"MEW (https://mobil.lokal26.de)";" 31/31";356.136;548.126;541.786;99 %;6.340;
"LR-Online";"LR-Online";"gesamt";" 31/31";1.120.847;1.955.506;1.890.729;97 %;64.777;
"LR-Online";"LR-Online";"Online (http://www.lr-online.de)";" 31/31";1.120.847;1.955.506;1.890.729;97 %;64.777;
"Ludwigshafen24";"Ludwigshafen24";"gesamt";" 31/31";405.239;539.287;523.446;97 %;15.841;
"Ludwigshafen24";"Ludwigshafen24";"Online (http://www.ludwigshafen24.de)";" 31/31";59.667;96.572;91.518;95 %;5.054;
"Ludwigshafen24";"Ludwigshafen24 mobile";"MEW (http://www.ludwigshafen24.de)";" 31/31";345.572;442.715;431.928;98 %;10.787;
"LZ.de (Lippische Landes-Zeitung)";"LZ.de (Lippische Landes-Zeitung)";"gesamt";" 31/31";2.048.297;4.232.551;4.146.696;98 %;85.855;
"LZ.de (Lippische Landes-Zeitung)";"LZ.de (Lippische Landes-Zeitung)";"Online (http://www.lz.de)";" 31/31";481.227;1.205.441;1.167.242;97 %;38.199;
"LZ.de (Lippische Landes-Zeitung)";"LZ.de mobile (Lippische Landes-Zeitung)";"MEW (http://www.lz.de)";" 31/31";1.567.070;3.027.110;2.979.454;98 %;47.656;
"Macwelt";"Macwelt";"gesamt";" 31/31";31.286;33.265;27.416;82 %;5.849;
"Macwelt";"Macwelt";"Online (http://www.macwelt.de)";" 31/31";31.286;33.265;27.416;82 %;5.849;
"Märkische Oderzeitung Online";"Märkische Oderzeitung Online";"gesamt";" 31/31";1.239.668;1.775.208;1.691.781;95 %;83.427;
"Märkische Oderzeitung Online";"Märkische Oderzeitung Online";"Online (http://www.moz.de)";" 31/31";287.710;579.649;537.864;93 %;41.785;
"Märkische Oderzeitung Online";"Märkische Oderzeitung Mobil";"MEW (https://www.moz.de)";" 31/31";951.958;1.195.559;1.153.917;97 %;41.642;
"mainpost.de";"mainpost.de";"gesamt";" X/31";3.159.679;9.239.773;9.014.276;98 %;225.497;
"mainpost.de";"mainpost.de";"Online (http://www.mainpost.de)";" 29/31";1.747.901;5.334.967;5.181.530;97 %;153.437;
"mainpost.de";"Main-Post News-App";"Apps (gesamt)";" 31/31";174.255;756.919;749.761;99 %;7.158;
"mainpost.de";"Main-Post News-App";"Apps (Smartphone)";" 31/31";174.255;756.919;749.761;99 %;7.158;
"mainpost.de";"mainpost.de mobil";"MEW (http://m.mainpost.de)";" 31/31";1.237.523;3.147.887;3.082.985;98 %;64.902;
"manager magazin online";"manager magazin online";"gesamt";" 31/31";681.726;812.677;724.259;89 %;88.418;
"manager magazin online";"manager magazin online";"Online (http://www.manager-magazin.de)";" 31/31";203.094;238.964;206.557;86 %;32.407;
"manager magazin online";"manager magazin online";"Apps (gesamt)";" 31/31";79.208;125.696;111.912;89 %;13.784;
"manager magazin online";"manager magazin online";"Apps (Smartphone)";" 31/31";79.208;125.696;111.912;89 %;13.784;
"manager magazin online";"manager magazin mobil";"MEW (https://www.manager-magazin.de)";" 31/31";399.424;448.017;405.790;91 %;42.227;
"Mannheim24";"Mannheim24";"gesamt";" 31/31";2.319.093;3.005.027;2.860.299;95 %;144.728;
"Mannheim24";"Mannheim24";"Online (http://www.mannheim24.de)";" 31/31";411.018;593.946;565.085;95 %;28.861;
"Mannheim24";"Mannheim24 mobile";"MEW (http://www.mannheim24.de)";" 31/31";1.908.075;2.411.081;2.295.214;95 %;115.867;
"Marburger & Gießener Magazin Express Online";"Marburger & Gießener Magazin Express Online";"gesamt";" 31/31";16.542;22.687;21.949;97 %;738;
"Marburger & Gießener Magazin Express Online";"Marburger & Gießener Magazin Express Online";"Online (http://www.marbuch-verlag.de)";" 31/31";16.542;22.687;21.949;97 %;738;
"Mediengruppe Thüringen Online (TA, OTZ, TLZ)";"Mediengruppe Thüringen Online (TA, OTZ, TLZ)";"gesamt";" 31/31";7.546.143;14.066.902;13.672.854;97 %;394.048;
"Mediengruppe Thüringen Online (TA, OTZ, TLZ)";"Mediengruppe Thüringen Online (TA, OTZ, TLZ)";"Online (http://mediengruppe-thueringen.de)";" 31/31";1.359.788;3.331.927;3.226.466;97 %;105.461;
"Mediengruppe Thüringen Online (TA, OTZ, TLZ)";"Mobile Newsportale der Mediengruppe Thüringen Verlag GmbH";"MEW (http://m.mediengruppe-thueringen.de)";" 31/31";6.186.355;10.734.975;10.446.388;97 %;288.587;
"Mens Health Mobil";"Mens Health Mobil";"gesamt";" 31/31";111;149;133;89 %;16;
"Mens Health Mobil";"Mens Health Mobil";"MEW (http://m.menshealth.de)";" 31/31";111;149;133;89 %;16;
"Merkur.de";"Merkur.de";"gesamt";" 31/31";78.992.855;117.508.058;111.985.073;95 %;5.522.985;
"Merkur.de";"Merkur.de";"Online (http://www.merkur.de)";" 31/31";10.923.934;22.993.911;21.714.614;94 %;1.279.297;
"Merkur.de";"Merkur.de mobile";"MEW (http://www.merkur.de/)";" 31/31";68.068.921;94.514.147;90.270.459;96 %;4.243.688;
"Mittelbayerische Zeitung";"Mittelbayerische Zeitung";"gesamt";" 31/31";1.454.000;3.057.154;2.991.135;98 %;66.019;
"Mittelbayerische Zeitung";"Mittelbayerische Zeitung";"Online (http://www.mittelbayerische.de)";" 31/31";596.902;1.313.804;1.277.655;97 %;36.149;
"Mittelbayerische Zeitung";"Mobile MZ-Website";"MEW (http://www.mittelbayerische.mobi)";" 31/31";857.098;1.743.350;1.713.480;98 %;29.870;
"Morgenweb";"Morgenweb";"gesamt";" 31/31";2.433.412;4.802.480;4.678.817;97 %;123.663;
"Morgenweb";"Morgenweb";"Online (http://www.morgenweb.de)";" 31/31";813.046;2.039.328;1.967.232;96 %;72.096;
"Morgenweb";"morgenweb mobile";"MEW (http://m.morgenweb.de)";" 31/31";1.620.366;2.763.152;2.711.585;98 %;51.567;
"Motorrad-Online";"Motorrad-Online";"gesamt";" 31/31";22;23;23;100 %;---;
"Motorrad-Online";"Motorrad-Online";"Online (http://www.motorradonline.de)";" 31/31";22;23;23;100 %;---;
"MT.de (Mindener Tageblatt)";"MT.de (Mindener Tageblatt)";"gesamt";" 31/31";933.647;1.979.649;1.954.676;99 %;24.973;
"MT.de (Mindener Tageblatt)";"MT.de (Mindener Tageblatt)";"Online (http://www.mt.de)";" 31/31";210.651;533.398;524.081;98 %;9.317;
"MT.de (Mindener Tageblatt)";"MT.de (Mindener Tageblatt)";"MEW (http://mobil.mt-online.de)";" 31/31";722.996;1.446.251;1.430.595;99 %;15.656;
"Münsterländische Volkszeitung Rheine";"Münsterländische Volkszeitung Rheine";"gesamt";" 31/31";937.022;1.962.718;1.926.487;98 %;36.231;
"Münsterländische Volkszeitung Rheine";"Münsterländische Volkszeitung Rheine";"Online (http://www.mv-online.de)";" 31/31";937.022;1.962.718;1.926.487;98 %;36.231;
"n-tv.de";"n-tv.de";"gesamt";" 31/31";250.389.607;751.064.281;711.712.925;95 %;39.351.356;
"n-tv.de";"n-tv.de";"Online (http://www.n-tv.de)";" 31/31";42.235.995;119.483.837;110.836.350;93 %;8.647.487;
"n-tv.de";"n-tv";"Apps (gesamt)";" 31/31";127.944.521;472.874.990;450.497.064;95 %;22.377.926;
"n-tv.de";"n-tv";"Apps (Smartphone)";" 31/31";127.944.521;472.874.990;450.497.064;95 %;22.377.926;
"n-tv.de";"n-tv Mobilportal";"MEW (http://mobil.n-tv.de)";" 31/31";80.209.091;158.705.454;150.379.511;95 %;8.325.943;
"Naumburger Tageblatt";"Naumburger Tageblatt";"gesamt";" 31/31";31.250;73.126;70.644;97 %;2.482;
"Naumburger Tageblatt";"Naumburger Tageblatt";"Online (http://www.naumburger-tageblatt.de)";" 31/31";31.250;73.126;70.644;97 %;2.482;
"Neue Deister Zeitung.de";"Neue Deister Zeitung.de";"gesamt";" 31/31";27.586;36.749;35.968;98 %;781;
"Neue Deister Zeitung.de";"Neue Deister Zeitung.de";"Online (http://ndz.de)";" 31/31";27.586;36.749;35.968;98 %;781;
"Neue OZ online";"Neue OZ online";"gesamt";" 31/31";9.769.240;23.879.143;23.492.718;98 %;386.425;
"Neue OZ online";"Neue OZ online";"Online (http://www.noz.de)";" 31/31";2.070.077;4.820.536;4.683.391;97 %;137.145;
"Neue OZ online";"Neue OZ mobil";"MEW (http://mobil.noz.de)";" 31/31";7.699.163;19.058.607;18.809.327;99 %;249.280;
"Neue Presse";"Neue Presse";"gesamt";" 31/31";1.117.844;2.972.191;2.925.687;98 %;46.504;
"Neue Presse";"Neue Presse";"Online (http://www.np-coburg.de)";" 31/31";1.055.051;2.039.281;2.002.664;98 %;36.617;
"Neue Presse";"Neue Presse App";"Apps (gesamt)";" 31/31";62.793;932.910;923.023;99 %;9.887;
"Neue Presse";"Neue Presse App";"Apps (Smartphone)";" 31/31";62.793;932.910;923.023;99 %;9.887;
"News.de";"News.de";"gesamt";" 31/31";1.101.132;1.502.073;1.337.810;89 %;164.263;
"News.de";"News.de";"Online (http://www.news.de)";" 31/31";150.617;192.676;176.570;92 %;16.106;
"News.de";"news.de Mobile";"MEW (http://m.news.de/)";" 31/31";950.515;1.309.397;1.161.240;89 %;148.157;
"Noizz";"Noizz";"gesamt";" 31/31";756.927;868.370;786.899;91 %;81.471;
"Noizz";"Noizz";"Online (http://www.noizz.de)";" 31/31";70.668;85.384;72.842;85 %;12.542;
"Noizz";"Noizzmob";"MEW (http://www.noizz.de)";" 31/31";686.259;782.986;714.057;91 %;68.929;
"Nordbayerischer Kurier";"Nordbayerischer Kurier";"gesamt";" 31/31";913.474;2.006.515;1.965.606;98 %;40.909;
"Nordbayerischer Kurier";"Nordbayerischer Kurier";"Online (http://www.kurier.de)";" 31/31";320.171;853.560;829.737;97 %;23.823;
"Nordbayerischer Kurier";"Kurier Mobil";"MEW (http://www.kurier.de)";" 31/31";593.303;1.152.955;1.135.869;99 %;17.086;
"Nordbayern.de";"Nordbayern.de";"gesamt";" 31/31";11.729.747;29.052.899;28.418.391;98 %;634.508;
"Nordbayern.de";"Nordbayern.de";"Online (http://www.nordbayern.de)";" 31/31";2.792.928;9.156.405;8.853.627;97 %;302.778;
"Nordbayern.de";"Nordbayern News App";"Apps (gesamt)";" 31/31";705.005;2.908.619;2.880.458;99 %;28.161;
"Nordbayern.de";"Nordbayern News App";"Apps (Smartphone)";" 31/31";705.005;2.908.619;2.880.458;99 %;28.161;
"Nordbayern.de";"Nordbayern.de Mobil";"MEW (http://www.nordbayern.de)";" 31/31";8.231.814;16.987.875;16.684.306;98 %;303.569;
"Nordbuzz Online";"Nordbuzz Online";"gesamt";" 31/31";102.131;121.346;99.613;82 %;21.733;
"Nordbuzz Online";"Nordbuzz Online";"Online (http://www.nordbuzz.de)";" 31/31";26.292;33.722;29.886;89 %;3.836;
"Nordbuzz Online";"Nordbuzz Mobil";"MEW (http://www.nordbuzz.de)";" 31/31";75.839;87.624;69.727;80 %;17.897;
"Nordkurier-Online";"Nordkurier-Online";"gesamt";" 31/31";8.274.710;11.847.087;11.585.020;98 %;262.067;
"Nordkurier-Online";"Nordkurier-Online";"Online (http://www.nordkurier.de)";" 31/31";2.677.899;5.044.633;4.894.582;97 %;150.051;
"Nordkurier-Online";"Nordkurier Mobile";"MEW (http://www.nordkurier.de/)";" 31/31";5.596.811;6.802.454;6.690.438;98 %;112.016;
"Nürtinger Zeitung";"Nürtinger Zeitung";"gesamt";" 31/31";293.733;517.592;501.326;97 %;16.266;
"Nürtinger Zeitung";"Nürtinger Zeitung";"Online (http://www.ntz.de)";" 31/31";70.450;159.026;150.712;95 %;8.314;
"Nürtinger Zeitung";"ntz.de";"MEW (http://www.ntz.de)";" 31/31";223.283;358.566;350.614;98 %;7.952;
"NW.de (Neue Westfälische)";"NW.de (Neue Westfälische)";"gesamt";" 31/31";4.607.501;9.592.465;9.416.440;98 %;176.025;
"NW.de (Neue Westfälische)";"NW.de (Neue Westfälische)";"Online (http://www.nw.de)";" 31/31";1.013.652;2.998.739;2.922.554;97 %;76.185;
"NW.de (Neue Westfälische)";"NW.de mobile (Neue Westfälische)";"MEW (http://www.nw.de)";" 31/31";3.593.849;6.593.726;6.493.886;98 %;99.840;
"NWZonline (Nordwest-Zeitung)";"NWZonline (Nordwest-Zeitung)";"gesamt";" 31/31";3.312.088;5.693.549;5.610.925;99 %;82.624;
"NWZonline (Nordwest-Zeitung)";"NWZonline (Nordwest-Zeitung)";"Online (http://www.nwzonline.de)";" 31/31";947.644;2.113.245;2.065.849;98 %;47.396;
"NWZonline (Nordwest-Zeitung)";"NWZ-Mobil";"MEW (http://mobil.nwzonline.de/)";" 31/31";2.364.444;3.580.304;3.545.076;99 %;35.228;
"Oberhessische Presse";"Oberhessische Presse";"gesamt";" 31/31";1.260.578;3.244.263;3.178.922;98 %;65.341;
"Oberhessische Presse";"Oberhessische Presse";"Online (http://www.op-marburg.de)";" 31/31";278.850;1.587.847;1.544.018;97 %;43.829;
"Oberhessische Presse";"Oberhessische Presse Mobil";"MEW (http://m.op-marburg.de)";" 31/31";981.728;1.656.416;1.634.904;99 %;21.512;
"Offenbach-Post Online";"Offenbach-Post Online";"gesamt";" 31/31";5.733.897;9.453.357;9.190.276;97 %;263.081;
"Offenbach-Post Online";"Offenbach-Post Online";"Online (http://www.op-online.de)";" 31/31";1.023.251;2.435.915;2.345.775;96 %;90.140;
"Offenbach-Post Online";"Offenbach-Post Online mobile";"MEW (http://www.op-online.de/)";" 31/31";4.710.646;7.017.442;6.844.501;98 %;172.941;
"Oldenburgische Volkszeitung";"Oldenburgische Volkszeitung";"gesamt";" 31/31";19.766;38.784;37.222;96 %;1.562;
"Oldenburgische Volkszeitung";"Oldenburgische Volkszeitung";"Online (http://oldenburgische-volkszeitung.de)";" 31/31";19.766;38.784;37.222;96 %;1.562;
"Onetz";"Onetz";"gesamt";" 31/31";4.218.957;11.298.996;11.056.121;98 %;242.875;
"Onetz";"Onetz";"Online (http://www.onetz.de)";" 31/31";810.434;3.295.884;3.195.947;97 %;99.937;
"Onetz";"Onetz Mobil";"MEW (http://www.onetz.de)";" 31/31";3.408.523;8.003.112;7.860.174;98 %;142.938;
"Ostfriesen-Zeitung online";"Ostfriesen-Zeitung online";"gesamt";" 31/31";1.829.802;3.192.842;3.147.895;99 %;44.947;
"Ostfriesen-Zeitung online";"Ostfriesen-Zeitung online";"Online (http://www.oz-online.de)";" 31/31";1.829.802;3.192.842;3.147.895;99 %;44.947;
"Ostfriesische Nachrichten";"Ostfriesische Nachrichten";"gesamt";" 31/31";739.355;1.348.588;1.331.879;99 %;16.709;
"Ostfriesische Nachrichten";"Ostfriesische Nachrichten";"Online (http://www.on-online.de)";" 31/31";739.355;1.348.588;1.331.879;99 %;16.709;
"Osthessen News";"Osthessen News";"gesamt";" 31/31";3.834.861;13.395.577;13.304.783;99 %;90.794;
"Osthessen News";"Osthessen News";"Online (http://osthessen-news.de)";" 31/31";2.473.756;5.577.267;5.525.792;99 %;51.475;
"Osthessen News";"Osthessen|News App";"Apps (gesamt)";" 31/31";1.361.105;7.818.310;7.778.991;99 %;39.319;
"Osthessen News";"Osthessen|News App";"Apps (Smartphone)";" 31/31";1.361.105;7.818.310;7.778.991;99 %;39.319;
"outdooractive";"outdooractive";"gesamt";" 20/31";135;149;85;57 %;64;
"outdooractive";"outdooractive";"Online (http://www.outdooractive.com)";" 20/31";135;149;85;57 %;64;
"OVB24";"OVB24";"gesamt";" 31/31";12.523.167;31.881.838;30.615.617;96 %;1.266.221;
"OVB24";"OVB24";"Online (http://www.ovb-online.de)";" 31/31";3.268.586;11.626.184;11.051.369;95 %;574.815;
"OVB24";"OVB24 mobile";"MEW (http://www.ovb-online.de)";" 31/31";9.254.581;20.255.654;19.564.248;97 %;691.406;
"Passauer Neue Presse";"Passauer Neue Presse";"gesamt";" 31/31";14.843.832;40.506.628;39.335.385;97 %;1.171.243;
"Passauer Neue Presse";"Passauer Neue Presse";"Online (http://www.pnp.de)";" 31/31";2.346.780;8.738.197;8.362.453;96 %;375.744;
"Passauer Neue Presse";"Passauer Neue Presse";"Apps (gesamt)";" 31/31";2.819.143;11.905.243;11.774.464;99 %;130.779;
"Passauer Neue Presse";"Passauer Neue Presse";"Apps (Smartphone)";" 31/31";2.819.143;11.905.243;11.774.464;99 %;130.779;
"Passauer Neue Presse";"PNP Mobil";"MEW (http://pnp.de)";" 31/31";9.677.909;19.863.188;19.198.468;97 %;664.720;
"PC-MAGAZIN";"PC-MAGAZIN";"gesamt";" 31/31";95.167;105.969;93.901;89 %;12.068;
"PC-MAGAZIN";"PC-MAGAZIN";"Online (http://www.pc-magazin.de)";" 31/31";7;9;9;100 %;---;
"PC-MAGAZIN";"PC-Magazin Mobil";"MEW (http://www.pc-magazin.de)";" 31/31";95.160;105.960;93.892;89 %;12.068;
"planet radio";"planet radio";"gesamt";" 31/31";14.527;18.056;16.416;91 %;1.640;
"planet radio";"planet radio";"Online (https://www.planetradio.de)";" 31/31";181;367;352;96 %;15;
"planet radio";"planet radio App";"Apps (gesamt)";" 31/31";623;2.264;2.251;99 %;13;
"planet radio";"planet radio App";"Apps (Smartphone)";" 31/31";623;2.264;2.251;99 %;13;
"planet radio";"planet radio Mobile";"MEW (https://www.planetradio.de)";" 31/31";13.723;15.425;13.813;90 %;1.612;
"Presseportal";"Presseportal";"gesamt";" 31/31";674.901;1.396.883;1.316.054;94 %;80.829;
"Presseportal";"Presseportal";"Online (http://www.presseportal.de)";" 31/31";242.266;592.991;543.213;92 %;49.778;
"Presseportal";"Presseportal Mobil";"MEW (http://www.presseportal.de)";" 31/31";432.635;803.892;772.841;96 %;31.051;
"Prisma.de";"Prisma.de";"gesamt";" X/31";269;322;258;80 %;64;
"Prisma.de";"Prisma.de";"Online (http://www.prisma.de)";" 31/31";72;83;70;84 %;13;
"Prisma.de";"Prisma Mobil";"MEW (http://mobil.prisma.de)";" 30/31";197;239;188;79 %;51;
"ProSieben Online";"ProSieben Online";"gesamt";" 31/31";13.856;23.994;23.230;97 %;764;
"ProSieben Online";"ProSieben Online";"Online (http://www.prosieben.de)";" 31/31";13.856;23.994;23.230;97 %;764;
"pz-news.de";"pz-news.de";"gesamt";" 31/31";1.359.850;3.206.281;3.140.792;98 %;65.489;
"pz-news.de";"pz-news.de";"Online (http://www.pz-news.de)";" 31/31";687.894;2.143.355;2.097.062;98 %;46.293;
"pz-news.de";"PZ App";"Apps (gesamt)";" 31/31";4.394;88.280;85.951;97 %;2.329;
"pz-news.de";"PZ App";"Apps (Smartphone)";" 31/31";4.394;88.280;85.951;97 %;2.329;
"pz-news.de";"PZ-news.de mobile";"MEW (http://mobil.pz-news.de)";" 31/31";667.562;974.646;957.779;98 %;16.867;
"Radio 7";"Radio 7";"gesamt";" 31/31";6.434;9.657;9.418;98 %;239;
"Radio 7";"Radio 7";"Online (http://www.radio7.de)";" 31/31";6.434;9.657;9.418;98 %;239;
"Radio 91.2";"Radio 91.2";"gesamt";" 31/31";332.769;529.413;520.004;98 %;9.409;
"Radio 91.2";"Radio 91.2";"Online (http://radio912.de)";" 31/31";332.769;529.413;520.004;98 %;9.409;
"Radio Berg";"Radio Berg";"gesamt";" 31/31";80.963;134.077;131.642;98 %;2.435;
"Radio Berg";"Radio Berg";"Online (http://www.radioberg.de)";" 31/31";80.963;134.077;131.642;98 %;2.435;
"Radio Bielefeld";"Radio Bielefeld";"gesamt";" 31/31";2.032.482;3.769.991;3.718.038;99 %;51.953;
"Radio Bielefeld";"Radio Bielefeld";"Online (http://www.radiobielefeld.de)";" 31/31";336.358;659.921;647.677;98 %;12.244;
"Radio Bielefeld";"Radio Bielefeld mobile";"MEW (http://radiobielefeld.de/m/)";" 31/31";1.696.124;3.110.070;3.070.361;99 %;39.709;
"Radio Bonn/Rhein-Sieg";"Radio Bonn/Rhein-Sieg";"gesamt";" 31/31";125.976;192.373;189.040;98 %;3.333;
"Radio Bonn/Rhein-Sieg";"Radio Bonn/Rhein-Sieg";"Online (http://www.radiobonn.de)";" 31/31";125.976;192.373;189.040;98 %;3.333;
"Radio Brocken";"Radio Brocken";"gesamt";" 31/31";243.471;271.856;270.208;99 %;1.648;
"Radio Brocken";"Radio Brocken";"Online (http://www.radiobrocken.de)";" 31/31";4.654;6.503;6.426;99 %;77;
"Radio Brocken";"Radio Brocken mobil";"MEW (http://www.radiobrocken.de)";" 31/31";238.817;265.353;263.782;99 %;1.571;
"Radio Erft";"Radio Erft";"gesamt";" 31/31";352.140;576.451;563.891;98 %;12.560;
"Radio Erft";"Radio Erft";"Online (http://www.radioerft.de)";" 31/31";352.140;576.451;563.891;98 %;12.560;
"Radio Euskirchen";"Radio Euskirchen";"gesamt";" 31/31";82.705;140.486;137.882;98 %;2.604;
"Radio Euskirchen";"Radio Euskirchen";"Online (http://www.radioeuskirchen.de)";" 31/31";82.705;140.486;137.882;98 %;2.604;
"Radio ffn";"Radio ffn";"gesamt";" 31/31";4.381;8.294;8.294;100 %;---;
"Radio ffn";"Radio ffn";"Online (http://www.ffn.de)";" 31/31";1.210;2.276;2.276;100 %;---;
"Radio ffn";"ffn mobil";"MEW (http://www.ffn.de)";" 31/31";3.171;6.018;6.018;100 %;---;
"Radio Gong";"Radio Gong";"gesamt";" 31/31";357.504;425.511;412.638;97 %;12.873;
"Radio Gong";"Radio Gong";"Online (http://www.radiogong.de)";" 31/31";357.504;425.511;412.638;97 %;12.873;
"Radio Gütersloh";"Radio Gütersloh";"gesamt";" 31/31";1.378.216;2.870.278;2.833.154;99 %;37.124;
"Radio Gütersloh";"Radio Gütersloh";"Online (http://www.radioguetersloh.de)";" 31/31";230.809;530.607;522.748;99 %;7.859;
"Radio Gütersloh";"Radio Gütersloh mobile";"MEW (http://radioguetersloh.de/m/)";" 31/31";1.147.407;2.339.671;2.310.406;99 %;29.265;
"Radio Herford";"Radio Herford";"gesamt";" 31/31";556.206;1.113.144;1.101.800;99 %;11.344;
"Radio Herford";"Radio Herford";"Online (http://www.radioherford.de)";" 31/31";83.634;186.900;184.322;99 %;2.578;
"Radio Herford";"Radio Herford mobile";"MEW (http://radioherford.de/m/)";" 31/31";472.572;926.244;917.478;99 %;8.766;
"Radio Hochstift";"Radio Hochstift";"gesamt";" 31/31";1.446.144;2.993.499;2.961.320;99 %;32.179;
"Radio Hochstift";"Radio Hochstift";"Online (http://www.radiohochstift.de)";" 31/31";238.108;543.736;531.922;98 %;11.814;
"Radio Hochstift";"Radio Hochstift mobile";"MEW (http://radiohochstift.de/m/)";" 31/31";1.208.036;2.449.763;2.429.398;99 %;20.365;
"Radio Kiepenkerl";"Radio Kiepenkerl";"gesamt";" 31/31";104.935;215.349;213.540;99 %;1.809;
"Radio Kiepenkerl";"Radio Kiepenkerl";"Online (http://www.radiokiepenkerl.de)";" 31/31";104.935;215.349;213.540;99 %;1.809;
"Radio Köln";"Radio Köln";"gesamt";" 31/31";180.077;284.896;277.087;97 %;7.809;
